service_id,date,exception_type
SUN,20090101,1
SAT,20090216,1
SUN,20090525,1
SUN,20090704,1
SUN,20090907,1
SUN,20091126,1
SUN,20091225,1
SUN,20100101,1
SUNAB,20090101,1
SUNAB,20090216,1
SUNAB,20090525,1
SUNAB,20090704,1
SUNAB,20090907,1
SUNAB,20091126,1
SUNAB,20091225,1
SUNAB,20100101,1
WKDY,20090101,2
WKDY,20090216,2
WKDY,20090525,2
SAT,20090704,2
WKDY,20090907,2
WKDY,20091126,2
WKDY,20091225,2
WKDY,20100101,2
M-FSAT,20090101,2
M-FSAT,20090216,2
M-FSAT,20090525,2
M-FSAT,20090704,2
M-FSAT,20090907,2
M-FSAT,20091126,2
M-FSAT,20091225,2
M-FSAT,20100101,2
